Hum,Macaca,Mouse,Rat
PPP1R14A,PPP1R14A,Ppp1r14a,Ppp1r14a
ANGPTL2,ANGPTL2,Angptl2,Angptl2
ATG5,ATG5,Atg5,Atg5
MERTK,MERTK,Mertk,Mertk
SLC19A3,SLC19A3,Slc19a3,Slc19a3
MB,MB,Mb,Mb
TTBK1,TTBK1,Ttbk1,Ttbk1
DNPH1,DNPH1,Dnph1,Dnph1
AP4E1,AP4E1,Ap4e1,Ap4e1
C16orf91,C16orf91,BC003965,RGD1565784
TFEC,TFEC,Tfec,Tfec
TRIM33,TRIM33,Trim33,Trim33
EFNB3,EFNB3,Efnb3,Efnb3
P3H4,P3H4,P3h4,P3h4
TMEM106A,TMEM106A,Tmem106a,Tmem106a
PRSS22,,Prss22,Prss22
ANKRD34B,ANKRD34B,Ankrd34b,Ankrd34b
PARG,PARG,Parg,Parg
ELP1,ELP1,Ikbkap,Ikbkap
BTG1,BTG1,Btg1,Btg1
XAB2,XAB2,Xab2,Xab2
SPNS3,SPNS3,Spns3,Spns3
CAMSAP3,CAMSAP3,Camsap3,Camsap3
MSLN,MSLN,Msln,Msln
SETD7,SETD7,Setd7,Setd7
IGHM,,Ighm,
ERG28,,Erg28,RGD1310769
NMT1,NMT1,Nmt1,Nmt1
SNX24,SNX24,Snx24,Snx24
NOXA1,NOXA1,Noxa1,Noxa1
METTL26,METTL26,Mettl26,Mettl26
GYPC,GYPC,Gypc,Gypc
RBM47,RBM47,Rbm47,Rbm47
PENK,PENK,Penk,Penk
SLC25A25,SLC25A25,Slc25a25,Slc25a25
FAM178B,FAM178B,Fam178b,Fam178b
GIPR,GIPR,Gipr,Gipr
KIAA0355,KIAA0355,4931406P16Rik,RGD1308428
ABRA,ABRA,Abra,Abra
CITED2,CITED2,Cited2,Cited2
PHACTR4,PHACTR4,Phactr4,Phactr4
TLDC1,TLDC1,Tldc1,Tldc1
HARBI1,HARBI1,Harbi1,Harbi1
LAGE3,LAGE3,Lage3,Lage3
CHGA,CHGA,Chga,Chga
LINGO1,LINGO1,Lingo1,Lingo1
TXLNB,TXLNB,Txlnb,Txlnb
KLHL31,KLHL31,Klhl31,Klhl31
WDFY1,WDFY1,Wdfy1,Wdfy1
KLHL5,KLHL5,Klhl5,Klhl5
MED6,MED6,Med6,Med6
PLD4,PLD4,Pld4,Pld4
INPP1,,Inpp1,Inpp1
SST,SST,Sst,Sst
PHF20,PHF20,Phf20,Phf20
SCFD2,SCFD2,Scfd2,Scfd2
TBC1D4,TBC1D4,Tbc1d4,Tbc1d4
AMTN,AMTN,Amtn,Amtn
MARCO,MARCO,Marco,Marco
GTF2A1,GTF2A1,Gtf2a1,Gtf2a1
CCDC138,CCDC138,Ccdc138,Ccdc138
OR12D3,OR12D3,Olfr109,Olr1868
RDH11,ARSDR1,Rdh11,Rdh11
RINL,RINL,Rinl,Rinl
CILP,CILP,Cilp,Cilp
OR14J1,OR14J1,Olfr125,Olr1693
ICMT,ICMT,Icmt,Icmt
NTS,NTS,Nts,Nts
FAM50B,FAM50B,Fam50b,Fam50b
CFAP97,CFAP97,Cfap97,Cfap97
CEP68,CEP68,Cep68,Cep68
COL13A1,COL13A1,Col13a1,Col13a1
TMEM71,TMEM71,Tmem71,Tmem71
DCAF7,DCAF7,Dcaf7,Dcaf7
LMAN2L,LMAN2L,Lman2l,Lman2l
TRIM3,TRIM3,Trim3,Trim3
SH2D4A,SH2D4A,Sh2d4a,Sh2d4a
SLC12A2,SLC12A2,Slc12a2,Slc12a2
ATG4B,ATG4B,Atg4b,Atg4b
FOLR1,FOLR1,Folr1,Folr1
KRT78,KRT78,Krt78,Krt78
SRSF5,SRSF5,Srsf5,Srsf5
AK8,AK8,Ak8,Ak8
PRSS8,PRSS8,Prss8,Prss8
FAM124A,FAM124A,Fam124a,Fam124a
LTC4S,LTC4S,Ltc4s,Ltc4s
POLR2H,POLR2H,Polr2h,Polr2h
MFSD8,MFSD8,Mfsd8,Mfsd8
RASL12,RASL12,Rasl12,Rasl12
SYT2,SYT2,Syt2,Syt2
TBX10,TBX10,Tbx10,Tbx10
FZD4,FZD4,Fzd4,Fzd4
LANCL1,LANCL1,Lancl1,Lancl1
MEI4,MEI4,Mei4,Mei4
LSM11,LSM11,Lsm11,Lsm11
COG6,COG6,Cog6,Cog6
FUT7,FUT7,Fut7,Fut7
ELFN1,ELFN1,Elfn1,Elfn1
CHMP2A,CHMP2A,Chmp2a,Chmp2a
NFX1,NFX1,Nfx1,Nfx1
MKI67,MKI67,Mki67,Mki67
LTF,LTF,Ltf,Ltf
KCNH5,KCNH5,Kcnh5,Kcnh5
OOSP2,OOSP2,Oosp2,Oosp2
SMOC2,SMOC2,Smoc2,Smoc2
SELENOV,,Selenov,Selenov
CBFB,CBFB,Cbfb,Cbfb
CORO2B,CORO2B,Coro2b,Coro2b
TTLL11,TTLL11,Ttll11,Ttll11
DRD1,DRD1,Drd1,Drd1
POGLUT1,POGLUT1,Poglut1,Poglut1
RERGL,RERGL,Rergl,Rergl
FXYD5,FXYD5,Fxyd5,Fxyd5
CD101,CD101,Cd101,Cd101
TRAF7,TRAF7,Traf7,Traf7
TBX4,TBX4,Tbx4,Tbx4
ACSL1,ACSL1,Acsl1,Acsl1
HMCN1,HMCN1,Hmcn1,Hmcn1
NSG2,NSG2,Nsg2,Nsg2
C2orf42,,C87436,RGD1306746
MIA3,MIA3,Mia3,Mia3
CSF3,CSF3,Csf3,Csf3
SLC9B2,SLC9B2,Slc9b2,Slc9b2
TOB2,TOB2,Tob2,Tob2
TRIM8,TRIM8,Trim8,Trim8
SLC7A6OS,SLC7A6OS,Slc7a6os,Slc7a6os
UBASH3B,UBASH3B,Ubash3b,Ubash3b
BTLA,BTLA,Btla,Btla
TMEM25,TMEM25,Tmem25,Tmem25
ZNF454,ZNF454,Zfp454,Znf454
COL25A1,COL25A1,Col25a1,Col25a1
ODAM,ODAM,Odam,Odam
HSPB1,HSPB1,Hspb1,Hspb1
SCLY,SCLY,Scly,Scly
PLPP6,PLPP6,Plpp6,Plpp6
APLP2,APLP2,Aplp2,Aplp2
CCDC28B,CCDC28B,Ccdc28b,Ccdc28b
CIB3,CIB3,Cib3,Cib3
IPO8,IPO8,Ipo8,
PRODH2,PRODH2,Prodh2,Prodh2
SLC25A34,SLC25A34,Slc25a34,Slc25a34
LYPD2,LYPD2,Lypd2,Lypd2
ZSCAN22,ZSCAN22,Zscan22,Zfp128
ME2,ME2,Me2,Me2
RNFT1,,Rnft1,Rnft1
MMRN1,MMRN1,Mmrn1,Mmrn1
PSTK,PSTK,Pstk,Pstk
DDX52,DDX52,Ddx52,Ddx52
DZIP3,DZIP3,Dzip3,Dzip3
CAND1,CAND1,Cand1,Cand1
AGT,AGT,Agt,Agt
SAMM50,SAMM50,Samm50,Samm50
OSTC,OSTC,Ostc,Ostc
KRT75,KRT75,Krt75,Krt75
RNF152,RNF152,Rnf152,Rnf152
CA6,CA6,Car6,Car6
CBLL1,CBLL1,Cbll1,Cbll1
RN7SKP148,7SK,Gm25057,7SK
RNA5SP158,5S_rRNA,Gm27362,5S_rRNA
SNORD88C,SNORD88,Gm26247,SNORD88
RNU1-61P,U1,Gm25949,U1
SNORA49,SNORA49,Gm26079,SNORA49
U4,U4,Gm25131,U4
WSCD1,WSCD1,Wscd1,Wscd1
AGRP,AGRP,Agrp,Agrp
STK36,STK36,Stk36,Stk36
LRRN2,LRRN2,Lrrn2,Lrrn2
FAM171A2,FAM171A2,Fam171a2,Fam171a2
GRN,GRN,Grn,Grn
RRAS,RRAS,Rras,Rras
SIRT7,SIRT7,Sirt7,Sirt7
SLC6A4,SLC6A4,Slc6a4,Slc6a4
SELENOH,SELENOH,Selenoh,Selenoh
TMX2,TMX2,Tmx2,Tmx2
CCS,CCS,Ccs,Ccs
POLD1,POLD1,Pold1,Pold1
NDUFAF8,NDUFAF8,Ndufaf8,LOC690871
SFR1,SFR1,Sfr1,Sfr1
NSUN2,NSUN2,Nsun2,Nsun2
NRG2,NRG2,Nrg2,Nrg2
TEX12,TEX12,Tex12,Tex12
CANT1,CANT1,Cant1,Cant1
BCO2,BCO2,Bco2,Tex12
TRIM29,TRIM29,Trim29,Trim29
GATA3,GATA3,Gata3,Gata3
SLC17A7,SLC17A7,Slc17a7,Slc17a7
USP2,USP2,Usp2,Usp2
STRN4,STRN4,Strn4,Strn4
ARHGEF1,ARHGEF1,Arhgef1,Arhgef1
IBTK,IBTK,Ibtk,Ibtk
CACNG6,CACNG6,Cacng6,Cacng6
DAGLA,DAGLA,Dagla,Dagla
CKMT2,CKMT2,Ckmt2,Ckmt2
DHPS,DHPS,Dhps,Dhps
MTTP,MTTP,Mttp,Mttp
SCEL,SCEL,Scel,Scel
C14orf132,C14orf132,D430019H16Rik,LOC100909954
CYP19A1,CYP19A1,Cyp19a1,Cyp19a1
SDHAF4,SDHAF4,Sdhaf4,Sdhaf4
GGT6,GGT6,Ggt6,Ggt6
GDF9,GDF9,Gdf9,Gdf9
LRIF1,LRIF1,Lrif1,Lrif1
AIMP1,AIMP1,Aimp1,Aimp1
SFRP1,SFRP1,Sfrp1,Sfrp1
DPEP1,DPEP1,Dpep1,Dpep1
PKNOX2,PKNOX2,Pknox2,Pknox2
LUZP2,LUZP2,Luzp2,Luzp2
ANKRD52,ANKRD52,Ankrd52,Ankrd52
NUDCD2,NUDCD2,Nudcd2,Nudcd2
SLC11A1,SLC11A1,Slc11a1,Slc11a1
ANKRD49,ANKRD49,Ankrd49,Ankrd49
TCAP,TCAP,Tcap,
PTPA,PTPA,Ptpa,Ptpa
EEA1,EEA1,Eea1,Eea1
OTX1,OTX1,Otx1,Otx1
SPATA32,SPATA32,Spata32,Spata32
HYPK,HYPK,Hypk,Hypk
CTNNAL1,CTNNAL1,Ctnnal1,Ctnnal1
MOGAT2,MOGAT2,Mogat2,Mogat2
C11orf53,C11orf53,1810046K07Rik,RGD1562914
KIF27,KIF27,Kif27,Kif27
SLC17A6,SLC17A6,Slc17a6,Slc17a6
FOXN2,FOXN2,Foxn2,Foxn2
GTF2H3,,Gtf2h3,Gtf2h3
CCDC69,CCDC69,Ccdc69,Ccdc69
SYT6,SYT6,Syt6,Syt6
PLCD3,PLCD3,Plcd3,Plcd3
TFF2,TFF2,Tff2,Tff2
BATF,BATF,Batf,Batf
TRPM7,TRPM7,Trpm7,Trpm7
SERPINH1,SERPINH1,Serpinh1,Serpinh1
OR51I2,OR51I2,Olfr641,Olr143
CEP135,CEP135,Cep135,Cep135
PRSS33,PRSS33,Prss33,Prss33
OLFML3,OLFML3,Olfml3,Olfml3
TBCE,TBCE,Tbce,Tbce
NPTN,NPTN,Nptn,Nptn
TMEM200B,TMEM200B,Tmem200b,Tmem200b
ERC2,ERC2,Erc2,Erc2
ZNF740,ZNF740,Zfp740,Znf740
ACOD1,ACOD1,Acod1,Acod1
MISP,MISP,Misp,Misp
TRHR,TRHR,Trhr,Trhr
FHL1,FHL1,Fhl1,Fhl1
NDUFC1,NDUFC1,Ndufc1,Ndufc1
TMEM210,TMEM210,Tmem210,Tmem210
GLYCTK,GLYCTK,Glyctk,Glyctk
PSTPIP1,PSTPIP1,Pstpip1,Pstpip1
ZFP64,ZFP64,Zfp64,Zfp64
SYT14,SYT14,Syt14,Syt14
F10,F10,F10,F10
CCDC166,CCDC166,Ccdc166,Ccdc166
C17orf62,C16H17orf62,BC017643,LOC619574
ABCA1,ABCA1,Abca1,Abca1
KCNK1,KCNK1,Kcnk1,Kcnk1
CNOT2,CNOT2,Cnot2,Cnot2
RBBP8,RBBP8,Rbbp8,Rbbp8
DIP2B,DIP2B,Dip2b,Dip2b
FBXO43,FBXO43,Fbxo43,Fbxo43
C3orf80,C3orf80,1110032F04Rik,LOC100362176
BHLHB9,BHLHB9,Bhlhb9,Bhlhb9
COL26A1,COL26A1,Col26a1,Col26a1
TMEM53,TMEM53,Tmem53,Tmem53
UBR7,UBR7,Ubr7,Ubr7
SH3D19,SH3D19,Sh3d19,Sh3d19
TMEM132C,TMEM132C,Tmem132c,Tmem132c
PARP2,PARP2,Parp2,Parp2
GFRA3,GFRA3,Gfra3,Gfra3
EDRF1,EDRF1,Edrf1,Edrf1
GPR4,GPR4,Gpr4,Gpr4
CLMP,CLMP,Clmp,Clmp
HPSE,HPSE,Hpse,Hpse
VILL,VILL,Vill,Vill
CBLN1,CBLN1,Cbln1,Cbln1
TCF23,TCF23,Tcf23,Tcf23
POLR3A,POLR3A,Polr3a,Polr3a
CARTPT,CARTPT,Cartpt,Cartpt
BSG,BSG,Bsg,Bsg
CIART,CIART,Ciart,Ciart
TSEN2,TSEN2,Tsen2,Tsen2
EDAR,EDAR,Edar,Edar
RHOH,RHOH,Rhoh,Rhoh
DDX6,DDX6,Ddx6,Ddx6
GRIN3A,GRIN3A,Grin3a,Grin3a
KCNN3,KCNN3,Kcnn3,Kcnn3
MYDGF,MYDGF,Mydgf,Mydgf
CDCA7L,CDCA7L,Cdca7l,Cdca7l
KCTD18,KCTD18,Kctd18,Kctd18
AMBN,AMBN,Ambn,Ambn
TERT,TERT,Tert,Tert
ORMDL2,,Ormdl2,Ormdl2
ADAR,ADAR,Adar,Adar
CHRM4,CHRM4,Chrm4,Chrm4
TMEM156,TMEM156,Tmem156,Tmem156
KIT,KIT,Kit,Kit
TBX1,TBX1,Tbx1,Tbx1
LGMN,LGMN,Lgmn,Lgmn
CDKN3,CDKN3,Cdkn3,Cdkn3
ARIH1,ARIH1,Arih1,Arih1
INTS10,INTS10,Ints10,Ints10
WNT8A,WNT8A,Wnt8a,Wnt8a
AFAP1L2,AFAP1L2,Afap1l2,Afap1l2
STX1B,STX1B,Stx1b,Stx1b
MSL1,MSL1,Msl1,Msl1
PLOD3,PLOD3,Plod3,Plod3
CHSY3,CHSY3,Chsy3,Chsy3
DEFB118,DEFB118,Defb21,Defb21
CD180,CD180,Cd180,Cd180
KIF23,KIF23,Kif23,Kif23
PPARG,PPARG,Pparg,Pparg
EBPL,EBPL,Ebpl,Ebpl
SMAP2,SMAP2,Smap2,Smap2
RBM15B,RBM15B,Rbm15b,Rbm15b
CYP2R1,CYP2R1,Cyp2r1,Cyp2r1
PHF3,PHF3,Phf3,Phf3
PDS5A,PDS5A,Pds5a,Pds5a
FRYL,FRYL,Fryl,Fryl
ABCB5,ABCB5,Abcb5,Abcb5
HTATSF1,HTATSF1,Htatsf1,Htatsf1
KNCN,KNCN,Kncn,Kncn
NR2C2,NR2C2,Nr2c2,Nr2c2
ANKRD37,ANKRD37,Ankrd37,Ankrd37
ECHDC1,ECHDC1,Echdc1,Echdc1
ZDHHC18,ZDHHC18,Zdhhc18,Zdhhc18
DDRGK1,DDRGK1,Ddrgk1,Ddrgk1
DESI1,DESI1,Desi1,Desi1
XRRA1,XRRA1,Xrra1,Xrra1
PPP1R13L,PPP1R13L,Ppp1r13l,Ppp1r13l
UFSP2,UFSP2,Ufsp2,Ufsp2
PRNP,PRNP,Prnp,Prnp
TNFAIP8,TNFAIP8,Tnfaip8,Tnfaip8
ADNP,ADNP,Adnp,Adnp
KIF21B,KIF21B,Kif21b,Kif21b
ADGRV1,ADGRV1,Adgrv1,Adgrv1
TMEM47,TMEM47,Tmem47,Tmem47
RNF207,RNF207,Rnf207,Rnf207
ARNTL,ARNTL,Arntl,Arntl
OR8I2,,Olfr1104,Olr536
PTX3,PTX3,Ptx3,Ptx3
GPR26,GPR26,Gpr26,Gpr26
HMGN3,HMGN3,Hmgn3,Hmgn3
ABLIM3,ABLIM3,Ablim3,Ablim3
OR5AS1,OR5AS1,Olfr1111,Olr544
CAV2,CAV2,Cav2,Cav2
MOB3C,MOB3C,Mob3c,Mob3c
VRTN,VRTN,Vrtn,Vrtn
LONP2,LONP2,Lonp2,Lonp2
VWA3A,VWA3A,Vwa3a,Vwa3a
CA14,CA14,Car14,Car14
AFAP1L1,AFAP1L1,Afap1l1,Afap1l1
KCTD3,KCTD3,Kctd3,Kctd3
BAZ1A,BAZ1A,Baz1a,Baz1a
TEPP,TEPP,Tepp,Tepp
CEP290,CEP290,Cep290,Cep290
ABHD17A,ABHD17A,Abhd17a,Abhd17a
CPSF2,CPSF2,Cpsf2,Cpsf2
ERBB3,ERBB3,Erbb3,Erbb3
SGPP1,SGPP1,Sgpp1,Sgpp1
KHK,KHK,Khk,Khk
DIO2,,Dio2,AC118957.1
STRADA,STRADA,Strada,Strada
PYCR3,PYCR3,Pycrl,Pycrl
UNC13B,,Unc13b,Unc13b
FOLR2,FOLR2,Folr2,Folr2
GDAP2,GDAP2,Gdap2,Gdap2
USB1,USB1,Usb1,Usb1
HNRNPA0,HNRNPA0,Hnrnpa0,LOC681410
CHRDL2,CHRDL2,Chrdl2,Chrdl2
FARSA,FARSA,Farsa,Farsa
GABRB3,GABRB3,Gabrb3,Gabrb3
EPC1,EPC1,Epc1,Epc1
FCER1A,FCER1A,Fcer1a,Fcer1a
CNTNAP1,CNTNAP1,Cntnap1,Cntnap1
NKG7,NKG7,Nkg7,Nkg7
SLC38A11,SLC38A11,Slc38a11,Slc38a11
LIM2,LIM2,Lim2,Lim2
TBC1D22B,TBC1D22B,Tbc1d22b,Tbc1d22b
PCNX3,PCNX3,Pcnx3,Pcnx3
CD3EAP,CD3EAP,Cd3eap,Cd3eap
TMEM217,TMEM217,Tmem217,Tmem217
CGREF1,CGREF1,Cgref1,Cgref1
CCR10,CCR10,Ccr10,Ccr10
ARID1B,ARID1B,Arid1b,Arid1b
STK38L,STK38L,Stk38l,Stk38l
SP6,SP6,Sp6,Sp6
ACAP2,ACAP2,Acap2,Acap2
FOSB,FOSB,Fosb,Fosb
PRSS36,PRSS36,Prss36,Prss36
ZNF319,ZNF319,Zfp319,Zfp319
POLR3G,POLR3G,Polr3g,Polr3g
ADRA1D,ADRA1D,Adra1d,Adra1d
LRP3,LRP3,Lrp3,Lrp3
SP2,SP2,Sp2,Sp2
COBLL1,COBLL1,Cobll1,Cobll1
C12orf29,C12orf29,4930430F08Rik,RGD1307947
CENPQ,CENPQ,Cenpq,
SLC7A10,SLC7A10,Slc7a10,Slc7a10
DNHD1,DNHD1,Dnhd1,Dnhd1
VEPH1,VEPH1,Veph1,Veph1
C3orf20,C3orf20,4930590J08Rik,RGD1560289
FAM13B,FAM13B,Fam13b,Fam13b
ERCC1,ERCC1,Ercc1,Ercc1
FBXO3,FBXO3,Fbxo3,Fbxo3
GLCE,GLCE,Glce,Glce
MBLAC2,MBLAC2,Mblac2,Mblac2
HAPLN2,HAPLN2,Hapln2,Hapln2
LRCOL1,LRCOL1,Lrcol1,Lrcol1
ADAM9,ADAM9,Adam9,Adam9
STARD5,STARD5,Stard5,Stard5
SNORA21,SNORA21,Snora21,SNORA21
SNORA11,SNORA11,Gm24907,SNORA11
RNU6-1080P,U6,Gm24697,U6
SNORA35,SNORA35,Snora35,SNORA35
RNU4-2,U4,Gm24407,U4
RNF25,RNF25,Rnf25,Rnf25
REN,REN,Ren1,Ren
COPA,COPA,Copa,Copa
PODNL1,PODNL1,Podnl1,Podnl1
NAGS,NAGS,Nags,Nags
PYY,PYY,Pyy,Pyy
DGLUCY,DGLUCY,Dglucy,RGD1311756
NECTIN1,NECTIN1,Nectin1,Nectin1
GFY,GFY,Gfy,Gfy
PTH2,PTH2,Pth2,Pth2
CEACAM16,CEACAM16,Ceacam16,Ceacam16
AK7,AK7,Ak7,Ak7
FSTL4,FSTL4,Fstl4,Fstl4
ST3GAL2,ST3GAL2,St3gal2,St3gal2
MGAT5B,MGAT5B,Mgat5b,Mgat5b
ZNF180,ZNF180,Zfp180,Zfp180
FDXACB1,FDXACB1,Fdxacb1,Fdxacb1
MFSD11,MFSD11,Mfsd11,Mfsd11
MED30,MED30,Med30,Med30
CLCN7,CLCN7,Clcn7,Clcn7
P2RX3,P2RX3,P2rx3,P2rx3
ELMO3,ELMO3,Elmo3,Elmo3
NREP,NREP,Nrep,Nrep
DYDC2,DYDC2,Dydc2,Dydc2
TNKS1BP1,TNKS1BP1,Tnks1bp1,Tnks1bp1
COX6B2,COX6B2,Cox6b2,Cox6b2
GALR2,GALR2,Galr2,Galr2
NLRX1,NLRX1,Nlrx1,Nlrx1
APEX1,APEX1,Apex1,Apex1
TRPM4,TRPM4,Trpm4,Trpm4
MRGPRF,MRGPRF,Mrgprf,Mrgprf
TRIM65,TRIM65,Trim65,Trim65
VSTM5,VSTM5,Vstm5,Vstm5
PPP5C,PPP5C,Ppp5c,Ppp5c
KCNK16,KCNK16,Kcnk16,Kcnk16
ZMYND19,ZMYND19,Zmynd19,Zmynd19
MEX3A,MEX3A,Mex3a,Mex3a
HEPACAM,HEPACAM,Hepacam,Hepacam
ZFYVE1,ZFYVE1,Zfyve1,Zfyve1
PPP6R1,PPP6R1,Ppp6r1,Ppp6r1
APOA4,APOA4,Apoa4,Apoa4
IFT43,IFT43,Ift43,Ift43
RELN,RELN,Reln,Reln
CSAD,CSAD,Csad,Csad
OTOP2,OTOP2,Otop2,Otop2
LIAS,LIAS,Lias,Lias
FADS6,FADS6,Fads6,Fads6
ATG14,ATG14,Atg14,Atg14
KLHL35,KLHL35,Klhl35,Klhl35
FTCD,FTCD,Ftcd,Ftcd
OR8B8,OR8B8,Olfr145,Olr1201
HSPA5,HSPA5,Hspa5,Hspa5
ADSL,ADSL,Adsl,Adsl
RABEPK,RABEPK,Rabepk,Rabepk
EXPH5,EXPH5,Exph5,Exph5
VSTM2A,,Vstm2a,Vstm2a
GPRC5C,GPRC5C,Gprc5c,Gprc5c
TMEM225,TMEM225,Tmem225,Tmem225
GLMN,GLMN,Glmn,Glmn
NAGK,NAGK,Nagk,Nagk
RND2,RND2,Rnd2,Rnd2
OR51F2,OR51F2,Olfr568,Olr51
C17orf80,C17orf80,D11Wsu47e,MGC95210
LEXM,LEXM,Lexm,Lexm
CTBP1,CTBP1,Ctbp1,Ctbp1
ARSI,ARSI,Arsi,Arsi
AXL,AXL,Axl,Axl
EPC2,EPC2,Epc2,Epc2
HOXB3,HOXB3,Hoxb3,Hoxb3
SLC22A3,SLC22A3,Slc22a3,Slc22a3
TECPR1,TECPR1,Tecpr1,Tecpr1
PRSS27,PRSS27,Prss27,Prss27
IQSEC2,IQSEC2,Iqsec2,Iqsec2
PINLYP,PINLYP,Pinlyp,Pinlyp
RDH13,RDH13,Rdh13,Rdh13
SKAP1,SKAP1,Skap1,Skap1
MYRFL,MYRFL,Myrfl,Myrfl
VPS8,VPS8,Vps8,Vps8
BRD3,BRD3,Brd3,Brd3
IPP,IPP,Ipp,Ipp
C1orf74,C1orf74,A130010J15Rik,LOC100125367
GPBP1L1,GPBP1L1,Gpbp1l1,Gpbp1l1
ETHE1,ETHE1,Ethe1,Ethe1
METRN,,Metrn,Metrn
SNAI1,SNAI1,Snai1,Snai1
CDH2,CDH2,Cdh2,Cdh2
GATA6,GATA6,Gata6,Gata6
RASAL1,RASAL1,Rasal1,Rasal1
SLC15A4,SLC15A4,Slc15a4,Slc15a4
TEDC2,TEDC2,Tedc2,LOC100158225
DCTN4,DCTN4,Dctn4,Dctn4
SLC2A2,SLC2A2,Slc2a2,Slc2a2
MRM2,MRM2,Mrm2,Mrm2
PKP2,PKP2,Pkp2,
CDH19,CDH19,Cdh19,Cdh19
FAM53C,FAM53C,Fam53c,Fam53c
SPATA7,SPATA7,Spata7,Spata7
FAM120B,FAM120B,Fam120b,Fam120b
SPON1,SPON1,Spon1,Spon1
SMURF2,SMURF2,Smurf2,Smurf2
TEX36,TEX36,Tex36,Tex36
HAO2,HAO2,Hao2,Hao2
SULT2B1,SULT2B1,Sult2b1,Sult2b1
CUL3,CUL3,Cul3,Cul3
HAS1,HAS1,Has1,Has1
FAM160B1,FAM160B1,Fam160b1,Fam160b1
WDR55,WDR55,Wdr55,Wdr55
MSC,MSC,Msc,Msc
MPC2,MPC2,Mpc2,Mpc2
BRDT,BRDT,Brdt,Brdt
SRPX,SRPX,Srpx,Srpx
SPACA7,SPACA7,Spaca7,Spaca7
ITIH4,ITIH4,Itih4,Itih4
MEIOC,MEIOC,Meioc,Meioc
RABGAP1,RABGAP1,Rabgap1,Rabgap1
KCNK10,KCNK10,Kcnk10,Kcnk10
WDR66,WDR66,Wdr66,Wdr66
BRD8,BRD8,Brd8,Brd8
RASD1,RASD1,Rasd1,Rasd1
PLXNA3,PLXNA3,Plxna3,Plxna3
ATG13,ATG13,Atg13,Atg13
MAP3K9,MAP3K9,Map3k9,Map3k9
RPS19BP1,RPS19BP1,Rps19bp1,Rps19bp1
SDR39U1,SDR39U1,Sdr39u1,Sdr39u1
NCBP3,NCBP3,Ncbp3,Ncbp3
KIF12,KIF12,Kif12,Kif12
DCBLD2,DCBLD2,Dcbld2,Dcbld2
COQ2,COQ2,Coq2,Coq2
KHNYN,KHNYN,Khnyn,Khnyn
BECN1,BECN1,Becn1,Becn1
HIST2H2AB,HIST2H2AB,Hist2h2ab,Hist2h2ab
ADCY10,ADCY10,Adcy10,Adcy10
SLC23A2,SLC23A2,Slc23a2,Slc23a2
PDIA5,PDIA5,Pdia5,Pdia5
F8,F8,F8,F8
ILKAP,ILKAP,Ilkap,Ilkap
SEC22A,SEC22A,Sec22a,Sec22a
C14orf37,C14orf37,3632451O06Rik,RGD1310110
KDR,KDR,Kdr,Kdr
TNFSF13B,TNFSF13B,Tnfsf13b,Tnfsf13b
IGF2R,IGF2R,Igf2r,Igf2r
WISP1,WISP1,Wisp1,Wisp1
TNFAIP8L1,TNFAIP8L1,Tnfaip8l1,Tnfaip8l1
ERMARD,ERMARD,Ermard,Ermard
CLBA1,CLBA1,BC022687,RGD1307315
LMO7,LMO7,Lmo7,Lmo7
FNIP1,FNIP1,Fnip1,Fnip1
NFATC2,NFATC2,Nfatc2,Nfatc2
ABHD13,ABHD13,Abhd13,Abhd13
GOLGA5,GOLGA5,Golga5,Golga5
RAB40C,RAB40C,Rab40c,Rab40c
ITPKB,ITPKB,Itpkb,Itpkb
KBTBD3,KBTBD3,Kbtbd3,Kbtbd3
NYNRIN,NYNRIN,Nynrin,Nynrin
MSANTD4,MSANTD4,Msantd4,Msantd4
RNF20,RNF20,Rnf20,Rnf20
XPO4,XPO4,Xpo4,Xpo4
CASC3,CASC3,Casc3,Casc3
DLX6,DLX6,Dlx6,Dlx6
SKIL,SKIL,Skil,Skil
NFIX,NFIX,Nfix,Nf1x
ST6GALNAC4,ST6GALNAC4,St6galnac4,St6galnac4
ARMC1,ARMC1,Armc1,Armc1
SLC4A11,SLC4A11,Slc4a11,Slc4a11
SEL1L,SEL1L,Sel1l,Sel1l
CRISP1,CRISP1,Crisp4,Crisp1
WNK4,WNK4,Wnk4,Wnk4
TMIE,TMIE,Tmie,Tmie
TGFA,TGFA,Tgfa,Tgfa
PTAFR,PTAFR,Ptafr,Ptafr
EXO5,EXO5,Exo5,Exo5
SCGB3A1,SCGB3A1,Scgb3a1,Scgb3a1
BDP1,BDP1,Bdp1,Bdp1
SNORD105,SNORD105,Gm24067,SNORD105
RNU11,U11,Rnu11,U11
SNORD32B,SNORD33,Gm26252,SNORD33
SNORD105B,snoU105B,Gm23008,snoU105B
SNORA20,SNORA20,Snora20,SNORA20
RNU6-915P,U6,Gm25335,U6
LGALS3BP,LGALS3BP,Lgals3bp,Lgals3bp
ZC3H12D,,Zc3h12d,Zc3h12d
PPY,PPY,Ppy,Ppy
C5orf15,C6H5orf15,9530068E07Rik,RGD1310352
PRDX3,PRDX3,Prdx3,Prdx3
RD3,RD3,Rd3,Rd3
ESPL1,ESPL1,Espl1,Espl1
LRWD1,LRWD1,Lrwd1,Lrwd1
GRIA1,GRIA1,Gria1,Gria1
USP37,USP37,Usp37,Usp37
CD300LG,CD300LG,Cd300lg,Cd300lg
TREX2,TREX2,Trex2,Trex2
